Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316889""","=""9780765316882""",5,Tor Books,Hardcover,590,2007,2007,2025/07/17,2025/07/08,,,read,,,,1,0
27847423,Пепел и сталь (Mistborn #1),Brandon Sanderson,"Sanderson, Brandon",,"=""5389100417""","=""9785389100411""",5,Азбука,Kindle Edition,923,2015,2006,2025/07/07,2025/07/02,,,read,,,,1,0
22823333,"The Eleventh Metal (Mistborn, #0.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,Crafty Games,ebook,21,2012,2012,,2025/07/02,,,read,,,,1,0
13578175,The Emperor's Soul,Brandon Sanderson,"Sanderson, Brandon",,"=""1616960922""","=""9781616960926""",5,Tachyon Publications,Paperback,175,2012,2012,2025/07/02,2025/07/01,,,read,,,,1,0
10852065,"The Hope of Elantris (Elantris, #1.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,Self-published,,25,2006,2006,2025/07/01,2025/07/01,,,read,,,,1,0
15699725,"Город богов (Elantris, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""5352015823""","=""""",5,Азбука-классика,Hardcover,640,2006,2005,2025/07/01,2025/06/23,,,read,,,,1,0
214331246,"Sunrise on the Reaping (The Hunger Games, #0.5)",Suzanne Collins,"Collins, Suzanne",,"=""1546171460""","=""9781546171461""",5,Scholastic Press,Hardcover,387,2025,2025,2025/06/22,2025/06/19,,,read,,,,1,0
51901147,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",5,Scholastic Press,Kindle Edition,541,2020,2020,2025/06/17,2025/06/14,,,read,,,,1,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",5,Scholastic Press,Hardcover,390,2010,2010,2025/06/07,2025/06/04,,,read,,,,1,0
40536979,Джейн Эйр,Charlotte Brontë,"Brontë, Charlotte","Шарлотта Бронте, Ирина Гурова","=""5448470971""","=""9785448470974""",5,Издательство Вече,Kindle Edition,666,,1847,2024/12/20,2024/12/17,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",5,Scholastic Press,Hardcover,391,2009,2009,2025/06/04,2025/05/27,,,read,,,,1,0
7769068,"Голодные игры (Голодные игры, #1)",Suzanne Collins,"Collins, Suzanne","Сьюзен Коллинз, Alexey Shipulin, Алексей Шипулин","=""5170624638""","=""9785170624638""",5,АСТ,Hardcover,384,2010,2008,2025/05/27,2025/05/19,,,read,,,,1,0
6967700,Сто лет одиночества,Gabriel García Márquez,"Márquez, Gabriel García",Габриэль Гарсиа Маркес,"=""""","=""""",0,Астрель,Paperback,414,2002,1967,,2025/05/13,stopped-reading,stopped-reading (#1),stopped-reading,,,,1,0
127616032,"Scythe & Sparrow (The Ruinous Love Trilogy, #3)",Brynne Weaver,"Weaver, Brynne",,"=""""","=""""",4,,Hardcover,416,2025,2025,2025/05/12,2025/05/10,,,read,,,,1,0
127611580,"Leather & Lark (The Ruinous Love Trilogy, #2)",Brynne Weaver,"Weaver, Brynne",,"=""0349441588""","=""9780349441580""",5,Zando,Paperback,390,2024,2024,2025/05/10,2025/05/05,,,read,,,,1,0
227899155,"Палач и Дрозд (The Ruinous Love Trilogy, #1)",Brynne Weaver,"Weaver, Brynne",Бринн Уивер,"=""5042068430""","=""9785042068430""",5,Эксмо,Paperback,352,2025,2023,2025/05/05,2025/05/03,,,read,,,,1,0
49217991,Книги Земноморья,Ursula K. Le Guin,"Guin, Ursula K. Le","Урсула Ле Гуин, Charles Vess, Чарльз Весс, Ирина Тогоева","=""5389166949""","=""9785389166943""",4,Азбука,Hardcover,1088,2019,2018,2025/05/03,2025/04/07,,,read,,,,1,0
17825280,"The Aztlanian (Rithmatist, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,,Paperback,,,,,2025/04/25,to-read,to-read (#8),to-read,,,,0,0
46049610,"Остання обитель бунтарства (Леобург, #1)",Ірина Грабовська,"Грабовська, Ірина",,"=""9669483255""","=""9789669483256""",0,КМ-Букс,Paperback,478,2019,,,2025/04/18,to-read,to-read (#7),to-read,,,,0,0
200078422,Рифматист,Brandon Sanderson,"Sanderson, Brandon",Брендон Сандерсон,"=""5389241878""","=""9785389241879""",5,Азбука,Kindle Edition,480,2023,2013,2025/04/07,2025/04/04,,,read,,,,1,0
208460125,Дом лжи,David Ellis,"Ellis, David",Дэвид Эллис,"=""5041859183""","=""9785041859183""",5,Inspiria,Hardcover,480,2024,2022,2025/04/04,2025/02/28,,,read,,,,1,0
17157096,Эммануэль,Emmanuelle Arsan,"Arsan, Emmanuelle",,"=""""","=""""",3,Дайджест,Hardcover,336,1992,1959,2025/03/27,2025/03/20,,,read,,,,1,0
65213104,"The Final Curtain (Detective Kaga, #4)",Keigo Higashino,"Higashino, Keigo",Giles Murray,"=""1250767520""","=""9781250767523""",0,Minotaur Books,Hardcover,400,2023,2013,,2025/03/27,to-read,to-read (#6),to-read,,,,0,0
59808174,"A Death in Tokyo (Detective Kaga, #3)",Keigo Higashino,"Higashino, Keigo",Giles Murray,"=""1250767504""","=""9781250767509""",0,Minotaur Books,Hardcover,368,2022,2011,,2025/03/27,to-read,to-read (#5),to-read,,,,0,0
33602102,"Newcomer (Detective Kaga, #2)",Keigo Higashino,"Higashino, Keigo",Giles Murray,"=""1250067863""","=""9781250067869""",0,Minotaur Books,Hardcover,352,2018,2009,,2025/03/27,to-read,to-read (#4),to-read,,,,0,0
20613611,"Malice (Detective Kaga, #1)",Keigo Higashino,"Higashino, Keigo",Alexander O. Smith,"=""1250035600""","=""9781250035608""",0,Minotaur Books,Hardcover,288,2014,1996,,2025/03/27,to-read,to-read (#3),to-read,,,,0,0
43195781,Кайноzой,Sergei Lukyanenko,"Lukyanenko, Sergei",Сергей Лукьяненко,"=""""","=""9785171125844""",4,ACT,Hardcover,320,2018,2018,2025/03/08,2025/02/26,,,read,,,,1,0
